0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383
-0.068542026	-0.0610466	-0.05724593	-0.06635442	-0.081186816	-0.005966897	0.0081076445	0.048131134	0.022853386	0.11547031	-0.0033239848	0.0037841022	0.0540742	0.022061685	0.05904874	0.020593358	-0.0025742587	-0.005464993	-0.101736955	-0.07478857	-0.044906348	-0.024470793	0.041623365	-0.017635142	0.017364051	-0.0010436083	0.036532663	0.010084703	0.016191952	0.062943146	-0.031765565	-0.04856798	-0.0038190666	0.05339565	0.020224314	-0.0749521	-0.030751249	-0.11981504	0.0116455695	0.040439248	-0.008930363	0.05291309	-0.02630358	0.0584788	0.08746357	0.012414545	-0.08781877	-0.0007658901	-0.074248746	0.029148916	-0.03197168	-0.0013857832	-0.12807253	0.02033923	-0.029239101	-0.06942756	0.055649802	0.0038254552	-0.012264441	0.034359787	-0.05675112	-0.06676442	0.024130024	0.020321395	-0.037344918	0.0076839016	-0.013710237	0.01153638	0.037110575	0.024651647	-0.1799062	-0.019081345	-0.076140754	0.09335574	-0.018571347	-0.048612185	-0.09270793	0.07997144	0.055819444	0.02269002	0.036673468	-0.030034525	-0.05672279	0.026008284	-0.030532358	0.061170742	-0.019712258	-0.011695661	0.023547526	0.02812123	-0.011325609	0.10757098	0.049529225	0.023273723	-0.08195474	0.01314877	0.10507228	-0.06820783	0.012495613	0.08236143	-0.1270337	-0.06463372	0.021861468	-0.012018453	-0.07863833	-0.05573482	0.03358392	-0.009945267	-0.01983192	-0.12873696	-0.07015825	0.06162964	-0.054094277	-0.07138715	-0.030907612	-0.0067275814	-0.014714814	-0.0059129456	-0.02633901	-0.016966501	-0.014693606	-0.03391129	-0.0025211761	-0.06047922	-0.02594329	-0.073567964	0.12677751	0.008192228	0.034706857	0.030814815	0.027937708	0.019575948	-0.024659678	0.015603899	-0.016080732	0.017095683	-0.032325517	0.047752243	-0.022816412	-0.027559735	-0.031027114	0.002167428	0.114003316	0.016157288	0.012323156	-0.03507053	-0.030044636	-0.03071692	0.018631889	0.058306832	0.11569873	0.08888854	0.078438714	0.004957738	0.032408692	-0.004909832	0.05138619	-0.02785608	0.09243255	-0.0202695	-0.0044124858	0.03574647	0.08263582	-0.071839646	-0.07592662	-0.011536257	0.10177869	0.013025642	0.0075012064	-0.037869073	-0.023059947	-0.015565926	0.054116078	0.008269219	-0.024828361	0.04386639	0.03826728	0.038319644	-0.02912719	0.095467076	0.047931455	0.046668343	0.035056856	-0.019816061	-0.028801676	0.019182127	-0.061226305	-0.057234075	-0.040124565	-0.0043649753	0.003855528	0.008614639	-0.022711407	-0.019311752	-0.0021453884	-0.066347905	0.06645263	-0.011737199	0.054893084	-0.003927601	-0.031755537	0.07130176	-0.0197748	-0.021185111	-0.009811963	0.040494274	0.022683863	-0.01090588	-0.024499478	-0.013182891	0.0540807	-0.00994188	-0.00070926914	-0.008193443	0.079158224	-0.044218294	0.03572871	0.03992039	-0.055837825	0.0062518083	0.030078368	-0.00072302076	0.022481535	3.7631248e-33	0.016406752	0.04524153	0.0049597095	0.066051394	-0.09444142	-0.05405527	-0.013316558	-0.051677853	0.045838993	0.08895112	0.15327577	-0.05573814	-0.038890965	0.07386903	0.055465687	-0.047915444	-0.007939042	-0.086221516	-0.029740175	-0.005080583	0.022747459	-0.066332	0.045345817	0.022285651	-0.027085979	-0.027424118	-0.0029408524	-0.054385222	-0.052462082	-0.055824123	-0.04045886	0.07979687	-0.070189215	0.046488646	-0.0003068403	-0.019502303	-0.003104623	0.004851046	0.004912084	0.024063589	0.007067547	0.0193685	-0.008583569	0.05332793	-0.007560362	-0.11362226	0.032178827	-0.039117478	-0.1018957	0.02250044	0.047594495	0.01635804	0.087212995	-0.086749524	0.0072264792	0.011619649	-0.0662026	0.03855046	-0.051061787	-0.071449995	-0.013865349	-0.035896484	-0.027015382	0.049397934	0.016878964	0.011920419	0.038545746	0.07379227	0.08433701	-0.11412835	0.06482603	-0.04754356	-0.004563001	0.090957806	-0.094466545	0.0062308228	-0.009622703	-0.013868738	-0.0013831637	-0.010754893	0.030255796	-0.041693635	0.005327153	-0.04238187	-0.0561039	-0.041359074	0.022036584	-0.020594623	-0.05192227	-0.02871574	-0.065912224	0.09879583	-0.033184607	0.0307088	0.065711476	5.229475e-32	0.041832026	-0.012095037	-0.041936386	-0.04201207	-0.006425473	-0.025410352	-0.034765847	0.016617289	-0.10216173	0.03012563	-0.0012151231	0.025144162	-0.004472073	0.01329607	-0.057095382	-0.02626779	-0.019754538	0.12802121	0.027756246	-0.025088128	0.049479607	0.0385126	-0.0051841154	-0.039260857	-0.0482561	-0.0609387	0.043147378	0.10062459	0.0724535	0.0069871373	0.011955916	0.037253905	0.08313581	-0.05902434	-0.048008755	0.037960127	0.088259295	-0.0040703085	-0.003646427	-0.015707156	0.03462238	0.033494674	-0.019128483	0.0064850086	-0.00016662318	-0.022318633	-0.11057323	0.030738318	-0.05145563	0.055896435	-0.03330851	0.07518556	0.04806537	0.056704536	-0.019890973	0.08310142	-0.0013737128	-0.020942863	-0.054024786	0.05485575	-0.07995041	0.047371004	0.07202087	-0.08947231
-0.06687276	-0.06973752	-0.05679874	-0.046242356	-0.0708958	-0.0038350606	-0.0058194143	0.04233647	0.005447609	0.10207286	-0.026084393	0.016066767	0.04592198	0.010779038	0.028481757	0.028694142	-0.014969551	-0.020994902	-0.08821783	-0.06849439	-0.042217974	-0.027597122	0.020055003	-0.017542917	0.00031971917	-0.011456407	0.045020532	0.0112728225	0.0019431895	0.06354624	-0.06488155	-0.048601944	-0.0014004863	0.05515539	0.028763207	-0.10678429	-0.017379172	-0.13165365	0.004043825	0.015047125	0.00022339752	0.04448337	-0.04942087	0.07498103	0.0762167	0.018993778	-0.08783264	-0.006406139	-0.07406142	0.028691253	-0.030930465	-0.012608911	-0.11725786	0.030093268	-0.022521289	-0.058853194	0.05152421	0.006115381	-0.0004484083	0.04303827	-0.043836217	-0.06336316	0.019153034	0.018155266	-0.029582787	0.018315697	-0.0036272653	0.010066185	0.010142505	0.034798097	-0.14091173	-0.018158227	-0.04520768	0.09392759	-0.018783655	-0.017599117	-0.09147648	0.10074136	0.06219446	0.057261657	0.05676303	-0.017182259	-0.052149214	0.040331647	-0.045413114	0.06040035	-0.016715653	-0.02558181	0.026311038	0.012554411	-0.028441835	0.10365165	0.033218417	0.01767128	-0.06772788	0.029801881	0.10500787	-0.05686454	0.020511433	0.04386561	-0.11557604	-0.06413043	0.046120495	-0.06588983	-0.05519659	-0.04545094	0.016795322	-0.018780077	-0.01068675	-0.09784238	-0.07329729	0.06650844	-0.08655486	-0.0733145	-0.04009585	-0.020155469	-0.02124704	-0.0038982662	-0.028632859	-0.0052321604	-0.014564291	-0.028188448	-0.014872492	-0.050472416	-0.020170977	-0.07133457	0.14016727	0.020481315	-0.004891019	0.025929427	-0.012789585	-0.0073889596	-0.017298851	0.0060769515	0.0019573518	0.038787276	-0.008971566	0.05750512	-0.045710832	-0.029740764	-0.028687255	-0.014067113	0.118548825	0.01924639	0.03165595	-0.043007627	-0.009919117	-0.031774443	0.008861651	0.046944644	0.09676713	0.102226816	0.060251158	0.021060154	0.014483742	-0.010043149	0.06571955	-0.03394069	0.078083746	-0.018986294	0.009559349	0.047174104	0.08953094	-0.070082776	-0.09420293	-0.009440564	0.08025603	0.018901497	-0.006590972	0.009944681	-0.029235298	-0.051465966	0.047081508	-0.003990823	-0.013760598	0.05653718	0.050776403	0.050747503	-0.033935778	0.08419051	0.024547888	0.0604418	0.045561116	-0.01424077	-0.044227216	-0.0072576203	-0.050448142	-0.07403445	-0.07128147	-0.011769052	0.007286353	0.028623065	-0.033388693	-0.0027892457	0.021705562	-0.06807988	0.05417255	0.020372214	0.047843054	-0.020960284	-0.0406773	0.03788962	-0.030918816	-0.018844057	-0.02605459	0.033160347	0.0031603547	0.002555388	-0.013275178	-0.012640773	0.0562334	-0.01266368	0.019613085	-0.009669592	0.065790534	-0.040748965	0.04503585	0.081481636	-0.05102973	0.028148817	0.0055409847	0.0042296206	0.020936206	9.740098e-34	0.02843506	0.030936187	0.009687477	0.073683515	-0.08219197	-0.05006288	-0.010237989	-0.06670975	0.039277796	0.09969664	0.14969732	-0.056658003	-0.02334221	0.07760466	0.04667018	-0.04416474	-0.010247688	-0.10103043	-0.026104188	-0.006961877	0.0075272066	-0.06944545	0.034151513	0.00094370684	-0.01737621	-0.03665641	-0.01653708	-0.029167766	-0.036607113	-0.03884011	-0.057643473	0.06796039	-0.032228842	0.034560774	0.03535406	-0.021730717	0.020290667	0.03819301	0.018173557	0.016342876	-0.0018665238	0.05880928	-0.0011998026	0.026023518	-0.016138744	-0.11424821	0.041008778	-0.0653506	-0.10527442	-0.00044116948	0.050612375	0.019265046	0.07184596	-0.08052808	0.003927488	0.020459468	-0.06361645	0.024184605	-0.04250331	-0.06311773	-0.021431258	-0.063740335	-0.037367374	0.06714014	0.018659087	0.017169965	0.04597214	0.067286216	0.062068958	-0.10624212	0.093087345	-0.02439387	-0.0018364269	0.0909201	-0.10731235	0.010587713	-0.042932816	-0.0031551167	-0.016535971	-0.04118945	0.052911744	-0.051176384	0.01434975	-0.007682817	-0.07146764	-0.025078317	0.043702897	-0.036446776	-0.066924304	-0.016133538	-0.07976849	0.09582253	-0.048657343	0.009047127	0.04680617	4.494412e-32	0.03320413	0.0018352083	-0.01706755	-0.02760739	-0.00576444	-0.01584921	-0.043666184	0.020714996	-0.092634	0.020543257	-0.0049407086	0.004663469	-0.012522305	0.02733483	-0.059116945	-0.02069545	-0.002206819	0.11414558	0.045804612	-0.029544665	0.056894735	0.052025367	-0.024843767	-0.033702917	-0.023107246	-0.06334958	0.062255383	0.10584073	0.08744356	0.017875519	-0.00079929095	0.051931754	0.08275688	-0.045065265	-0.034044094	0.03972518	0.08536724	-0.009970063	-0.02662614	-0.013341032	0.033077423	0.079112776	-0.05178234	-0.00525915	0.011797666	-0.050078854	-0.10807374	0.034239367	-0.030346485	0.054688346	-0.03200282	0.09044789	0.077484176	0.03238365	0.0049183196	0.10565296	0.015756495	-0.05362211	-0.07506559	0.069232546	-0.067748226	0.025760403	0.06309854	-0.08018374
-0.0375372	-0.044494838	-0.034021743	-0.057096824	-0.095609635	-0.04330447	-0.00022714918	0.03733814	0.06346086	0.12736945	-0.04536712	-0.016466826	0.07836789	0.033799298	-0.026705911	0.020888826	-0.04629715	0.019227136	-0.055961333	-0.041830875	-0.03276249	0.011800593	0.024845442	0.0231432	0.013116016	0.02638766	-0.003984242	0.04101279	-0.0025084477	0.04287725	0.009005493	-0.03307143	-0.027619444	0.06856156	-0.0007497036	0.008021391	-0.051293597	-0.124474235	0.04400911	0.08453515	-0.007875441	-0.05067621	-0.017609516	0.059957776	0.009233365	0.079040594	-0.04993464	0.031269494	-0.045072682	0.00079596054	-0.07856699	0.002194493	-0.16011985	-0.033320542	-0.029871764	-0.11926234	0.025980996	0.008390275	-0.08794541	-0.04117103	-0.058208954	0.02274731	0.01429506	0.056809265	-0.07901824	0.020668691	-0.03493751	0.015841538	0.05052053	-0.0039293016	-0.16644719	-0.020790322	-0.10475019	0.059028253	-0.032868553	-0.055266332	-0.0074692983	0.08952008	-0.014202865	0.015829219	-0.01812989	-0.055326186	0.010219523	-0.015558334	0.003933513	0.048224308	0.013141751	0.044481553	0.006075931	0.0083004	0.021551436	0.06918708	0.08421232	0.017858965	-0.06031896	0.0020666993	0.083768524	-0.05281769	0.016313966	0.08648831	-0.09009892	0.0030779536	-0.025815753	-0.037213173	-0.05374029	-0.04167118	-0.03788542	-0.06914887	0.109235734	-0.09715113	-0.05854637	0.006187482	-0.0047234427	0.011797248	0.018034827	0.043529328	-0.041380715	-0.040740546	-0.016885165	0.027248988	-0.018046694	-0.019593628	0.008405776	-0.04886232	-0.03141104	-0.032095835	0.086857945	-0.020159362	0.06451165	0.05493105	0.0020173178	0.04229777	0.04946007	0.043735117	-0.058915094	0.0221994	-0.08532568	0.04587453	0.056516897	0.048066426	-0.057823654	0.057867274	0.09253689	0.03237538	-0.061787993	-0.032816254	-0.026849922	0.025198888	0.042120837	0.06647866	0.057854153	0.022473998	0.031119393	-0.0049394886	0.051762883	-0.031648025	0.043403246	0.015829591	0.030544959	-0.03889516	-0.03473065	-0.00872848	-0.026002428	-0.07941863	-0.122740045	0.0070730844	0.08272395	0.10101317	0.033821665	-0.042902004	0.06792525	0.009211685	0.059072033	0.047827613	-0.057282053	0.07993364	0.0044568763	0.03707087	0.022650646	0.01821137	0.07244309	0.015982984	-0.040600926	-0.080927685	0.010910963	0.04831027	-0.064035304	-0.06396876	0.008961221	-0.0038700872	0.070097774	-0.0016790762	0.040775996	-0.027657282	-0.015515367	-0.022357963	0.03249611	0.03794488	0.0032881547	0.07106969	-0.035903793	0.07961882	0.03366098	-0.012535218	0.0017417931	-0.061876006	0.032196533	-0.0016713431	0.016616343	0.0074329493	0.07130299	-0.024467587	-0.016059674	-0.039454065	0.07332192	-0.037881795	-0.030798577	-0.077614225	-0.058331657	-0.061130825	-0.036268465	-0.068643205	-0.010411118	7.180773e-33	-0.0084365355	0.010166603	-0.0014519829	0.074334405	-0.066124626	-0.061909266	0.07935743	-0.022411665	0.114380576	0.061239377	0.090854615	-0.003038162	-0.0017969054	0.07315137	0.06967318	-0.057576116	-0.0015844143	-0.031006463	-0.005597953	-0.0002046216	-0.0542763	-0.0414462	-0.011575339	-0.0013121208	-0.07330127	0.016840203	0.0035660155	-0.085308306	-0.08038914	-0.047309123	-0.02502287	0.0453491	-0.06974866	0.043627273	0.016792977	0.016096735	-0.006688434	-0.035069846	0.0010456324	0.05966636	0.04242844	0.04610896	0.005357994	0.060690325	0.019937186	-0.11012202	-0.028444597	-0.014905586	-0.13099162	0.042864528	0.073261805	0.03004222	0.036634073	-0.08808021	0.014047199	-0.05842101	-0.039274886	0.06791941	-0.06711395	-0.044575807	-0.0054849912	0.038855698	-0.0043931277	0.0047976067	-0.03338935	0.060735803	0.026354805	0.016677521	0.11555756	-0.035920005	0.066276304	-0.02618821	-0.0061782054	0.08716674	0.023902029	0.0864519	-0.05229363	0.07413815	-0.01406384	0.06098684	0.00020100972	-0.027402166	-0.07145569	-0.047559123	-0.07696091	-0.03431856	-0.016718013	-0.031740613	0.0021973199	0.008522413	-0.021291988	0.069022655	0.006126324	0.06322898	0.13384126	4.788239e-32	0.0842567	-0.02899574	-0.05247895	-0.007249505	-0.017329134	-0.031760857	-0.02630641	-0.0042198617	-0.08007604	0.011070878	0.054763358	-0.011350654	-0.033013348	0.010541299	-0.06979668	0.045814063	-0.004368347	0.06058456	0.03672451	0.018586008	0.007113206	0.008291341	0.04375561	-0.058355868	-0.06325269	-0.07748161	0.016548304	0.10725417	0.016813489	0.002557641	0.090468116	-0.027739918	0.040234216	-0.031804692	-0.027638407	-0.0299225	0.010056225	0.008786387	0.050897323	-0.028152687	0.01008159	-0.038762614	0.019863095	-0.021810893	-0.01873705	-0.0009919677	-0.064391494	-0.021986064	-0.02429482	0.012942587	0.010890569	0.0060650646	0.018020682	0.005685012	-0.026609102	0.078826785	-0.00014954274	0.0022444027	-0.09500571	0.006615544	-0.0412895	0.058029175	0.11446833	-0.13771679
-0.02911224	-0.009010365	-0.09392149	-0.04467593	-0.022582011	0.028888725	0.012772485	0.04574666	0.02313473	0.12574922	-0.052487418	0.006347304	0.035697874	0.010610068	0.051218975	-0.045897607	0.051915128	0.012062741	-0.057103306	-0.019169101	-0.094802015	0.0051163384	0.02687961	0.04110721	0.07932939	-0.077459015	0.033386637	0.06191265	-0.01720077	0.014079851	0.02920034	-0.08110453	-0.017358223	0.077720866	-0.018921452	0.016757037	0.008771478	-0.11041659	0.026449563	0.080426216	0.04116429	-0.021998124	-0.036881324	0.035147645	0.015417247	0.010458006	-0.015354485	0.004893515	-0.067282565	-0.049995974	-0.017791584	-0.016353998	-0.1313485	0.016676659	-0.0074633798	-0.08565601	0.006490972	-0.025778066	-0.0807493	-0.025766691	-0.0341753	-0.0050360817	-0.0034837	0.009092958	-0.058316156	0.0054076454	-0.026502391	-0.0050038006	0.021034488	0.018187122	-0.079279035	0.010690995	-0.062342416	0.03374768	0.024145994	-0.075846575	-0.05937112	0.08431285	0.0350554	0.007965655	0.053838104	-0.018079948	-0.057472862	-0.01300379	-0.013901528	0.06751485	0.017613951	0.031956814	-0.027630042	0.013297912	-0.032493662	0.0820317	0.13101839	-0.042427793	-0.0073554195	-0.0028917121	0.045951694	-0.037352066	0.016383134	0.09323448	-0.057800155	0.033634655	0.04006459	-0.02637426	-0.04795939	-0.022794148	-0.026746567	0.0020171457	0.0175808	-0.08839798	-0.11522152	-0.027509032	-0.02530004	-0.03873731	-0.010940487	-0.00777709	-0.022940207	-0.046451535	0.0068427916	-0.049598876	0.016963467	-0.007549477	0.035043743	-0.11066925	0.034001067	-0.07144812	0.09212964	-0.011890477	0.06591122	0.07240395	-0.051495943	0.073759265	-0.0424021	0.013321589	-0.08070051	-0.035156894	-0.041474674	0.062114373	0.045771636	0.058344807	-0.067255296	0.07392687	0.11521596	0.007134349	-0.04448856	-0.064728454	-0.01815423	-0.022202035	0.018084405	0.07007952	0.034271292	0.071989045	-0.019389423	0.0351299	0.021205435	0.013094408	-0.025906637	-0.025828037	0.017505763	0.017180968	0.03592674	0.015138335	-0.059948865	-0.03443284	-0.058930013	-0.034381267	0.09398031	0.06572338	0.015674911	-0.032689713	-0.015766805	0.024100047	0.030696077	-0.0025424513	-0.054760613	0.049570687	0.0003739042	0.022434244	-0.009533504	0.035949964	0.15390691	0.06571571	-0.05620052	-0.027352976	0.013672574	0.053327803	-0.06319619	-0.04763891	0.048521865	0.005653103	-0.018349461	0.030993152	0.05001889	0.009776743	-0.007087521	-0.028747672	0.017681815	-0.021647284	0.009311276	0.01749767	-0.026273567	0.12172719	0.0077355	-0.036664605	-0.073339365	0.02182865	0.039700773	-0.01159834	0.0009125203	-0.005164196	0.079579666	0.027969763	0.059155654	-0.009251961	0.09983969	-0.053927366	-0.046290908	0.021971246	-0.11622156	-0.015308713	0.024950068	-0.007151851	-0.037908655	3.8682757e-33	0.0013943212	-0.027298009	-0.056834694	0.09006968	-0.04109408	-0.026385346	0.039074443	-0.026043424	0.10200656	0.13834047	0.14940217	-0.04063646	0.04875251	0.06872303	0.031676732	-0.03968177	0.026008047	-0.07070799	-0.016722301	0.013194364	-0.08328434	-0.06822713	0.018944155	0.060433127	-0.054594163	0.0074334284	0.05056016	-0.095313534	-0.12467856	-0.043829493	-0.0663522	0.04903034	-0.04415179	0.06315111	0.012065013	0.040375248	-0.02827977	0.008982805	-0.007219929	0.03539716	-0.01907746	0.015007054	-0.030805547	0.0073649865	0.009042994	-0.14149505	-0.13379362	-0.059282888	-0.15617378	0.07810492	0.038829934	0.023943681	0.007911633	-0.12750348	-0.011495922	-0.028129417	-0.035025004	0.02062175	0.03474829	-0.023388432	0.012259892	0.046755165	-0.0069336127	-0.02325267	-0.0059086923	0.015200314	0.0386044	-0.0102921715	0.1007904	0.0370782	0.050770484	-0.07705722	-0.022069452	0.08968371	0.0044749235	0.0638694	0.0008956517	-0.0073205987	0.041430417	0.0063485466	-0.024262307	-0.036828004	-0.062874146	-0.075692385	-0.0460637	-0.033337343	-0.033477113	0.03981727	-0.021750685	0.00039575237	-0.05032129	0.065312624	-0.03125731	-0.009886386	0.07488437	6.543352e-32	0.060332775	-0.024277208	-0.022684611	-0.04448262	-0.057975873	-0.078340374	0.0038294317	-0.036503486	-0.05430974	-0.0134090595	-0.009475054	0.016877608	0.038014855	-0.0017470337	-0.06710971	0.025261136	-0.00900959	0.09241819	-0.028728552	-0.038343497	0.03612301	-0.01421319	0.032356355	-0.09260295	-0.014579007	-0.058659088	0.025729304	0.103334874	0.0068475073	0.04740359	0.116212726	-0.02166224	0.011164765	-0.06464079	-0.011509563	0.0014475387	0.022651367	0.034748703	0.011577693	-0.039654214	0.025162404	-0.062543675	0.056523323	-0.010016601	-0.03948383	0.062360536	-0.04293545	-0.003594689	-0.03410324	-0.0053632585	0.004348813	-0.0031996535	0.056398142	0.015686562	-0.025489844	0.05760607	0.048509076	0.04012788	-0.083578505	0.012828251	-0.011286939	0.01585019	0.06711979	-0.071729
